-----------------------------------------------------------------------------------------------------------------------
- Bench VeraCrypt
- Started at: 2022-11-08  8:49:35
- CPU: AMD FX(tm)-6300 Six-Core Processor
-----------------------------------------------------------------------------------------------------------------------
SIZE       | HASH       | ENCRYPTION ALGORITHM           | VOL CREATE TIME      | VOL FILL TIME        | SPEED (MB/sec)
200 MB     | SHA-256    | AES-Twofish-Serpent            |  0m8.972s            |  0m1.368s            | 87
200 MB     | SHA-256    | Camellia-Kuznyechik            |  0m8.904s            |  0m1.301s            | 87
200 MB     | SHA-256    | Camellia-Serpent               |  0m8.310s            |  0m1.383s            | 175
200 MB     | SHA-256    | Kuznyechik-AES                 |  0m8.301s            |  0m1.324s            | 175
200 MB     | SHA-256    | Kuznyechik-Serpent-Camellia    |  0m8.796s            |  0m1.873s            | 175
200 MB     | SHA-256    | Kuznyechik-Twofish             |  0m8.758s            |  0m12.821s           | 13
200 MB     | SHA-256    | Serpent-AES                    |  0m9.529s            |  0m1.440s            | 175
200 MB     | SHA-256    | Serpent-Twofish-AES            |  0m9.757s            |  0m1.425s            | 175
200 MB     | SHA-256    | Twofish-Serpent                |  0m8.565s            |  0m1.436s            | 87
200 MB     | RIPEMD-160 | AES                            |  0m13.001s           |  0m11.974s           | 14
200 MB     | RIPEMD-160 | Camellia                       |  0m13.161s           |  0m1.288s            | 175
200 MB     | RIPEMD-160 | Kuznyechik                     |  0m14.750s           |  0m1.345s            | 175
200 MB     | RIPEMD-160 | Serpent                        |  0m15.373s           |  0m1.272s            | 175
200 MB     | RIPEMD-160 | Twofish                        |  0m13.084s           |  0m1.529s            | 175
200 MB     | RIPEMD-160 | AES-Twofish                    |  0m11.926s           |  0m1.270s            | 175
200 MB     | RIPEMD-160 | AES-Twofish-Serpent            |  0m12.846s           |  0m1.352s            | 87
200 MB     | RIPEMD-160 | Camellia-Kuznyechik            |  0m14.313s           |  0m1.601s            | 87
200 MB     | RIPEMD-160 | Camellia-Serpent               |  0m13.353s           |  0m1.322s            | 175
200 MB     | RIPEMD-160 | Kuznyechik-AES                 |  0m14.070s           |  0m1.532s            | 87
200 MB     | RIPEMD-160 | Kuznyechik-Serpent-Camellia    |  0m13.393s           |  0m1.453s            | 175
200 MB     | RIPEMD-160 | Kuznyechik-Twofish             |  0m14.550s           |  0m1.263s            | 175
200 MB     | RIPEMD-160 | Serpent-AES                    |  0m13.118s           |  0m1.317s            | 87
200 MB     | RIPEMD-160 | Serpent-Twofish-AES            |  0m14.038s           |  0m1.608s            | 87
200 MB     | RIPEMD-160 | Twofish-Serpent                |  0m13.918s           |  0m1.447s            | 87
200 MB     | SHA-512    | AES                            |  0m8.689s            |  0m1.560s            | 87
